Breakout-04
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
   21/3/22,   17:12:8,  4.010000,    0,       0.000000,       0.000000,       183,        57,         3,         3,         3,         0,         0,         0,         2,         0,         0,         2
   21/3/22,  17:12:28,  4.011250,    0,       0.000000,       0.000000,       168,        52,        10,         3,         3,         0,         0,         1,         3,         0,         1,         3
   21/3/22,  17:12:48,  4.013750,    0,       0.000000,       0.000000,       180,        48,         3,         0,         0,         0,         0,         1,         1,         0,         1,         1
   21/3/22,   17:13:8,  4.013750,    0,       0.000000,       0.000000,       171,        53,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:13:28,  4.013750,    0,       0.000000,       0.000000,       156,        48,         3,         3,         3,         0,         0,         0,         2,         0,         0,         2
   21/3/22,  17:13:48,  4.011250,    0,       0.000000,       0.000000,        42,        14,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:14:8,  4.008750,    0,       0.000000,       0.000000,        72,        24,        20,         9,         9,         0,         0,         0,         6,         0,         0,         6
   21/3/22,  17:14:28,  4.008750,    0,       0.000000,       0.000000,        48,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:14:48,  4.011250,    0,       0.000000,       0.000000,        18,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:15:8,  4.011250,    0,       0.000000,       0.000000,        72,        20,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:15:28,  4.010000,    0,       0.000000,       0.000000,       189,        59,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1
   21/3/22,  17:15:48,  4.008750,    0,       0.000000,       0.000000,        21,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:16:8,  4.008750,    0,       0.000000,       0.000000,       414,       127,         3,         3,         0,         0,         2,         3,         3,         2,         3,         3
   21/3/22,  17:16:28,  4.011250,    0,       0.000000,       0.000000,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:16:48,  4.011250,    0,       0.000000,       0.000000,       105,        35,         3,         3,         3,         3,         0,         0,         3,         0,         0,         3
   21/3/22,   17:17:8,  4.007500,    0,       0.000000,       0.000000,        60,        20,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:17:28,  4.006250,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:17:48,  4.008750,    0,       0.000000,       0.000000,        75,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:18:8,  4.010000,    0,       0.000000,       0.000000,        18,         6,         3,         3,         3,         3,         0,         0,         2,         0,         0,         2
   21/3/22,  17:18:28,  4.008750,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:18:48,  4.006250,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:19:8,  4.006250,    0,       0.000000,       0.000000,        60,        20,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:19:28,  4.008750,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:19:48,  4.008750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:20:8,  4.008750,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:20:28,  4.008750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:20:48,  4.006250,    0,       0.000000,       0.000000,       108,        32,         3,         3,         3,         3,         0,         0,         2,         0,         0,         2
   21/3/22,   17:21:8,  4.003750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:21:28,  4.007500,    0,       0.000000,       0.000000,        18,         6,         3,         3,         3,         0,         0,         0,         1,         0,         0,         1
   21/3/22,  17:21:48,  4.008750,    0,       0.000000,       0.000000,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:22:8,  4.006250,    0,       0.000000,       0.000000,        39,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:22:28,  4.003750,    0,       0.000000,       0.000000,        42,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:22:48,  4.003750,    0,       0.000000,       0.000000,        39,        13,         7,         3,         3,         0,         0,         0,         1,         0,         0,         1
   21/3/22,   17:23:8,  4.006250,    0,       0.000000,       0.000000,        33,        11,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:23:28,  4.006250,    0,       0.000000,       0.000000,         9,         3,         3,         3,         3,         0,         0,         0,         1,         0,         0,         1
   21/3/22,  17:23:48,  4.006250,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:24:8,  4.001250,    0,       0.000000,       0.000000,        18,         6,         3,         3,         3,         0,         0,         0,         1,         0,         0,         1
   21/3/22,  17:24:28,  4.003750,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:24:48,  4.006250,    0,       0.000000,       0.000000,        72,        24,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:25:8,  4.005000,    0,       0.000000,       0.000000,       606,       193,        43,         3,         3,         0,         3,         6,         7,         3,         6,         7
   21/3/22,  17:25:28,  4.006250,    0,       0.000000,       0.000000,       507,       146,        20,         0,         0,         0,         1,         2,         2,         1,         2,         2
