S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance
494,20,1935,6189,1957,11846,275,74,644,709,404,224.3333333,36,6,38,0,0,3,1380.796296,14948285.37
529,20,1856.3,5806.3,1860.6,11587.6,280.1,76.8,655.8,736.4333333,406.9333333,216.2,37.6,8.7,38,0.9,0,2.7,1339.998148,14092859.67
564,20,1777.6,5423.6,1764.2,11329.2,285.2,79.6,667.6,763.8666667,409.8666667,208.0666667,39.2,11.4,38,1.8,0,2.4,1299.2,13237433.97
599,20,1698.9,5040.9,1667.8,11070.8,290.3,82.4,679.4,791.3,412.8,199.9333333,40.8,14.1,38,2.7,0,2.1,1258.401852,12382008.27
634,20,1620.2,4658.2,1571.4,10812.4,295.4,85.2,691.2,818.7333333,415.7333333,191.8,42.4,16.8,38,3.6,0,1.8,1217.603704,11526582.57
669,20,1541.5,4275.5,1475,10554,300.5,88,703,846.1666667,418.6666667,183.6666667,44,19.5,38,4.5,0,1.5,1176.805556,10671156.87
704,20,1462.8,3892.8,1378.6,10295.6,305.6,90.8,714.8,873.6,421.6,175.5333333,45.6,22.2,38,5.4,0,1.2,1136.007407,9815731.166
739,20,1384.1,3510.1,1282.2,10037.2,310.7,93.6,726.6,901.0333333,424.5333333,167.4,47.2,24.9,38,6.3,0,0.9,1095.209259,8960305.465
774,20,1305.4,3127.4,1185.8,9778.8,315.8,96.4,738.4,928.4666667,427.4666667,159.2666667,48.8,27.6,38,7.2,0,0.6,1054.411111,8104879.764
809,20,1226.7,2744.7,1089.4,9520.4,320.9,99.2,750.2,955.9,430.4,151.1333333,50.4,30.3,38,8.1,0,0.3,1013.612963,7249454.063
844,20,1148,2362,993,9262,326,102,762,983.3333333,433.3333333,143,52,33,38,9,0,0,972.8148148,6394028.361
842.4,27.8,1128.2,2274.8,982.5,8790,331.4333333,106.8,757.2333333,983.4333333,436.8333333,142.3333333,54.9,34.9,36.1,10.2,0,0.7,941.1425926,5888910.837
840.8,35.6,1108.4,2187.6,972,8318,336.8666667,111.6,752.4666667,983.5333333,440.3333333,141.6666667,57.8,36.8,34.2,11.4,0,1.4,909.4703704,5383793.313
839.2,43.4,1088.6,2100.4,961.5,7846,342.3,116.4,747.7,983.6333333,443.8333333,141,60.7,38.7,32.3,12.6,0,2.1,877.7981481,4878675.789
837.6,51.2,1068.8,2013.2,951,7374,347.7333333,121.2,742.9333333,983.7333333,447.3333333,140.3333333,63.6,40.6,30.4,13.8,0,2.8,846.1259259,4373558.265
836,59,1049,1926,940.5,6902,353.1666667,126,738.1666667,983.8333333,450.8333333,139.6666667,66.5,42.5,28.5,15,0,3.5,814.4537037,3868440.741
