S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 3,Zone 2,Zone 4,
511.8,16.2,111.2,390.4,79.8,23472.5,127.8,318.2,171.3666667,404.6,66.6,661.2666667,210.2,527.7,43.5,3.7,0,2.3,1506.618519,34349857.89,5029.173333,185.8238095,311.5,12.375,
481,18,108,359,85,24103,129,309,188,413,68,669,213,572,48,3,0,0,1542.555556,35449385.01,5168.4,183.4285714,294.5,12.75,
486,20.5,123.9,360.3,93.8,24748.5,133.3666667,308.9,198.2,424.2666667,68.73333333,689.7,212.1,563.9,57.6,3,0.3,0.3,1582.964815,38149223.24,5304.033333,186.0142857,304.95,15.3,
491,23,139.8,361.6,102.6,25394,137.7333333,308.8,208.4,435.5333333,69.46666667,710.4,211.2,555.8,67.2,3,0.6,0.6,1623.374074,40849061.48,5439.666667,188.6,315.4,17.85,
496,25.5,155.7,362.9,111.4,26039.5,142.1,308.7,218.6,446.8,70.2,731.1,210.3,547.7,76.8,3,0.9,0.9,1663.783333,43548899.71,5575.3,191.1857143,325.85,20.4,
501,28,171.6,364.2,120.2,26685,146.4666667,308.6,228.8,458.0666667,70.93333333,751.8,209.4,539.6,86.4,3,1.2,1.2,1704.192593,46248737.95,5710.933333,193.7714286,336.3,22.95,
506,30.5,187.5,365.5,129,27330.5,150.8333333,308.5,239,469.3333333,71.66666667,772.5,208.5,531.5,96,3,1.5,1.5,1744.601852,48948576.18,5846.566667,196.3571429,346.75,25.5,
511,33,203.4,366.8,137.8,27976,155.2,308.4,249.2,480.6,72.4,793.2,207.6,523.4,105.6,3,1.8,1.8,1785.011111,51648414.42,5982.2,198.9428571,357.2,28.05,
516,35.5,219.3,368.1,146.6,28621.5,159.5666667,308.3,259.4,491.8666667,73.13333333,813.9,206.7,515.3,115.2,3,2.1,2.1,1825.42037,54348252.65,6117.833333,201.5285714,367.65,30.6,
521,38,235.2,369.4,155.4,29267,163.9333333,308.2,269.6,503.1333333,73.86666667,834.6,205.8,507.2,124.8,3,2.4,2.4,1865.82963,57048090.89,6253.466667,204.1142857,378.1,33.15,
526,40.5,251.1,370.7,164.2,29912.5,168.3,308.1,279.8,514.4,74.6,855.3,204.9,499.1,134.4,3,2.7,2.7,1906.238889,59747929.12,6389.1,206.7,388.55,35.7,
531,43,267,372,173,30558,172.6666667,308,290,525.6666667,75.33333333,876,204,491,144,3,3,3,1946.648148,62447767.35,6524.733333,209.2857143,399,38.25,
542.6,45.9,273.4,402.7,211.8,29241.2,185.7,314.9,298.8333333,530.6333333,103.9,888.6333333,206.9,502.2,146.7,4,3,3,1883.666667,59337190.96,6274.893333,222.6904762,408,39.175,
